INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
1431	diaplew	Diapleo	dee-ap-leh'-o	Verb	1277	To sail across.
1432	diaponeomai	Diaponeo	dee-ap-on-eh'-o	Verb	1278	1. To work out laboriously, make complete by labour.\    A. To exert one's self, strive.\    B. To manage with pains, accomplish with great labour.\    C. To be troubled, displeased, offended, pained, to be worked up.
1433	diaporeuomai	Diaporeuomai	dee-ap-or-yoo'-om-ahee	Verb	1279	1. To cause to pass through a place.\2. To carry across.\3. To journey through a place, go through.\4. To travel through.
1434	diaporew	Diaporeo	dee-ap-or-eh'-o	Verb	1280	To be entirely at loss, to be in perplexity.
1435	diapragmateuomai	Diapragmateuomai	dee-ap-rag-mat-yoo'-om-ahee	Verb	1281	1. Thoroughly, earnestly to undertake a business.\2. To undertake a business for sake of gain.
1436	diapriw	Diaprio	dee-ap-ree'-o	Verb	1282	1. To saw asunder or in two, to divide by a saw.\2. To be sawn through mentally, i.e. to be rent with vexation.
1437	diarpazw	Diarpazo	dee-ar-pad'-zo	Verb	1283	To plunder.
1438	diatassw	Diatasso	dee-at-as'-so	Verb	1299	To arrange, appoint, ordain, prescribe, give order.
1439	diatelew	Diateleo	dee-at-el-eh'-o	Verb	1300	To bring thoroughly to an end, accomplish.
1440	diathrew	Diatereo	dee-at-ay-reh'-o	Verb	1301	To keep continually or carefully.
1441	diati	Diati	dee-at-ee'		1302	Through, by, with, because of, for the sake of.
1442	diatiqhmi	Diatithemai	dee-at-ith'-em-ahee	Verb	1303	1. To arrange, dispose of, one's own affairs.\    A. Of something that belongs to one.\    B. To dispose of by will, make a testament.\2. To make a covenant, enter into a covenant, with one.
1443	diatribw	Diatribo	dee-at-ree'-bo	Verb	1304	1. To rub between, rub hard.\2. To wear away, consume.\3. To spend, pass time.
1444	diatrofh	Diatrophe	dee-at-rof-ay'	Noun Feminine	1305	Sustenance.
1445	diaugazw	Diaugazo	dee-ow-gad'-zo	Verb	1306	1. To shine through, to dawn.\    A. Of daylight breaking through the darkness of night.
1446	diafanhV	Diaphanes	dee-af-an-ace'	Adjective	1307	Transparent, translucent.
1447	diaferw	Diaphero	dee-af-er'-o		1308	1. To bear or carry through any place.\2. To carry different ways.\    A. To carry in different directions, to different places.\        1. Of people who are carried hither and thither in a ship, driven to and fro.\    B. To differ, to test, prove, the good things that differ.\        1. To distinguish between good and evil, lawful and unlawful, to approve of things that excel, to differ from one.\        2. To excel, surpass one.\    C. Impersonally, it makes a difference, it matters, is of importance.
1448	diafeugw	Diapheugo	dee-af-yoo'-go	Verb	1309	To flee through danger, to escape.
1449	diafhmizw	Diaphemizo	dee-af-ay-mid'-zo	Verb	1310	1. To spread abroad, blaze abroad.\2. To spread abroad his fame or renown.
1450	diafqeirw	Diaphtheiro	dee-af-thi'-ro	Verb	1311	1. To change for the worse, to corrupt.\    A. Of minds, morals.\2. To destroy, ruin.\    A. To consume.\        1. Of bodily vigour and strength.\        2. Of the worm or moth that eats provisions, clothing, etc.\    B. To destroy, to kill.
1451	diafqora	Diaphthora	dee-af-thor-ah'	Noun Feminine	1312	Corruption, destruction.
1452	diaforoV	Diaphoros	dee-af'-or-os	Adjective	1313	1. Different, varying in kind.\2. Excellent, surpassing.
1453	diafulassw	Diaphulasso	dee-af-oo-las'-so	Verb	1314	1. To guard carefully.\    A. The LXX used this esp. of God's providential care.
1454	diaceirizw	Diacheirizomai	dee-akh-i-rid'-zom-ahee	Verb	1315	1. To move by the use of the hands, take in hand, manage, administer, govern.\2. To lay hands on, slay, kill [with one's own hand].
1455	diacwrizw	Diachorizomai	dee-akh-o-rid'-zom-ahee	Verb	1316	1. To separate thoroughly or wholly.\2. To separate one's self, depart.
1456	didaktikoV	Didaktikos	did-ak-tik-os'	Adjective	1317	Apt and skilful in teaching.
1457	didaktoV	Didaktos	did-ak-tos'	Adjective	1318	1. That can be taught.\2. Taught, instructed by one.\3. Teachings, precepts.
1458	didaskalia	Didaskalia	did-as-kal-ee'-ah	Noun Feminine	1319	1. Teaching, instruction.\2. Teaching.\    A. That which is taught, doctrine.\    B. Teachings, precepts.
1459	didaskaloV	Didaskalos	did-as'-kal-os	Noun Masculine	1320	1. A teacher.\2. In the NT one who teaches concerning the things of God, and the duties of man.\    A. One who is fitted to teach, or thinks himself so.\    B. The teachers of the Jewish religion.\    C. Of those who by their great power as teachers draw crowds around them i.e. John the Baptist, Jesus.\    D. By preeminence used of Jesus by himself, as one who showed men the way of salvation.\    E. Of the apostles, and of Paul.\    F. Of those who in the religious assemblies of the Christians, undertook the work of teaching, with the special assistance of the Holy Spirit.\    G. Of false teachers among Christians.
1460	didaskw	Didasko	did-as'-ko	Verb	1321	1. To teach.\    A. To hold discourse with others in order to instruct them, deliver didactic discourses.\    B. To be a teacher.\    C. To discharge the office of a teacher, conduct one's self as a teacher.\2. To teach one.\    A. To impart instruction.\    B. Instill doctrine into one.\    C. The thing taught or enjoined.\    D. To explain or expound a thing.\    E. To teach one something.
1461	didach	Didache	did-akh-ay'	Noun Feminine	1322	1. Teaching.\    A. That which is taught.\    B. Doctrine, teaching, concerning something.\2. The act of teaching, instruction.
1462	didracmon	Didrachmon	did'-rakh-mon	Noun Neuter	1323	A didrachmon or double drachma, a silver coin equal to two Attic drachmas or one Alexandrian, or one half a shekel.
1463	DidumoV	Didumos	did'-oo-mos	Noun Masculine	1324	Didymus = "two fold or twain".\A surname for the apostle Thomas.
1464	didwmi	Didomi	did'-o-mee	Verb	1325	1. To give.\2. To give something to someone.\    A. Of one's own accord to give one something, to his advantage.\        1. To bestow a gift.\    B. To grant, give to one asking, let have.\    C. To supply, furnish, necessary things.\    D. To give over, deliver.\        1. To reach out, extend, present.\        2. Of a writing.\        3. To give over to one's care, intrust, commit 2d.\    E. Something to be administered 2d.\    F. To give or commit to some one something to be religiously observed.\    G. To give what is due or obligatory, to pay: wages or reward.\    H. To furnish, endue.\3. To give.\    A. To cause, profuse, give forth from one's self.\        1. To give, hand out lots.\    B. To appoint to an office.\    C. To cause to come forth, i.e. as the sea, death and Hell are said to give up the dead who have been engulfed or received by them.\    D. To give one to someone as his own.
1465	diegeirw	Diegeiro	dee-eg-i'-ro	Verb	1326	1. To wake up, awaken, arouse (from sleep).\    A. Of the sea, which begins to be agitated, to rise.\    B. Metaph.\        1. To arouse the mind.\        2. Stir up, render active.
1466	dienqumeomai	Diexodos	dee-ex'-od-os	Noun Feminine	1327	1. A way out through, outlet, exit.\    A. Literally the ways through which ways go out.\    B. The places before the city where the roads from the country terminate, therefore outlets of the country highways, also entrances into the city.\    C. Of boundaries of countries.
1467	diermhneuthV	Diermeneutes	dee-er-main-yoo-tace'	Noun Masculine	1328	An interpreter.
1468	diermhneuw	Diermeneuo	dee-er-main-yoo'-o	Verb	1329	1. To unfold the meaning of what is said, explain, expound.\2. To translate into one's native language.
1469	diercomai	Dierchomai	dee-er'-khom-ahee	Verb	1330	1. To go through, pass through.\    A. To go, walk, journey, pass through a place.\    B. To travel the road which leads through a place, go, pass, travel through a region.\2. To go different places.\    A. Of people, to go abroad.\    B. Of a report, to spread, go abroad.
1470	dierwtaw	Dierotao	dee-er-o-tah'-o	Verb	1331	1. To ask through.\    A. Ask many, one after another.\    B. To find out by asking, enquire out.
1471	diethV	Dietes	dee-et-ace'	Adjective	1332	Of two years, two years old.
1472	dietia	Dietia	dee-et-ee'-a	Noun Feminine	1333	The space of two years.
1473	dihgeomai	Diegeomai	dee-ayg-eh'-om-ahee	Verb	1334	1. To lead or carry a narration through to the end.\2. Set forth, recount, relate in full, describe.
1474	dihghsiV	Diegesis	dee-ayg'-es-is	Noun Feminine	1335	A narration, narrative.
1475	dihnekhV	Dienekes	dee-ay-nek-es'	Adjective	1336	Continuously, continuous.
1476	diqalassoV	Dithalassos	dee-thal'-as-sos	Adjective	1337	1. Resembling or forming two seas: thus of the Euxine Sea.\2. Lying between two seas, i.e. washed on both sides by the sea.\    A. An isthmus or tongue of land, the extremity of which is covered by the waves.\    B. A projecting reef or bar against which the waves dash on both sides.
1477	diikneomai	Diikneomai	dee-ik-neh'-om-ahee	Verb	1338	To go through, penetrate, pierce.
1478	diisthmi	Diistemi	dee-is'-tay-mee	Verb	1339	1. To place separately, put asunder, disjoin.\2. To stand apart, to part, depart.
1479	diiscurizomai	Diischurizomai	dee-is-khoo-rid'-zom-ahee	Verb	1340	1. To lean upon.\2. To affirm stoutly, assert confidently.
1480	dikaiokrisia	Dikaiokrisia	dik-ah-yok-ris-ee'-ah	Noun Feminine	1341	Righteous judgment.
1481	dikaioV	Dikaios	dik'-ah-yos	Adjective	1342	1. Righteous, observing divine laws.\    A. In a wide sense, upright, righteous, virtuous, keeping the commands of God.\        1. Of those who seem to themselves to be righteous, who pride themselves to be righteous, who pride themselves in their virtues, whether real or imagined.\        2. Innocent, faultless, guiltless.\        3. Used of him whose way of thinking, feeling, and acting is wholly conformed to the will of God, and who therefore needs no rectification in the heart or life 1a.\    B. Approved of or acceptable of God.\    C. In a narrower sense, rendering to each his due and that in a judicial sense, passing just judgment on others, whether expressed in words or shown by the manner of dealing with them.
1482	dikaiosunh	Dikaiosune	dik-ah-yos-oo'-nay	Noun Feminine	1343	1. In a broad sense: state of him who is as he ought to be, righteousness, the condition acceptable to God.\    A. The doctrine concerning the way in which man may attain a state approved of God.\    B. Integrity, virtue, purity of life, rightness, correctness of thinking feeling, and acting.\2. In a narrower sense, justice or the virtue which gives each his due.
1483	dikaiow	Dikaioo	dik-ah-yo'-o	Verb	1344	1. To render righteous or such he ought to be.\2. To show, exhibit, evince, one to be righteous, such as he is and wishes himself to be considered.\3. To declare, pronounce, one to be just, righteous, or such as he ought to be.
1484	dikaiwma	Dikaioma	dik-ah'-yo-mah	Noun Neuter	1345	1. That which has been deemed right so as to have force of law.\    A. What has been established, and ordained by law, an ordinance.\    B. A judicial decision, sentence.\    C. Either the favourable judgment by which he acquits man and declares them acceptable to Him 1b.\    D. Unfavourable: sentence of condemnation.\2. A righteous act or deed.
1485	dikaiwV	Dikaios	dik-ah'-yoce	Adverb	1346	1. Just, agreeably to right.\2. Properly, as is right.\3. Uprightly, agreeable to the law of rectitude. righteous, observing divine laws.\    A. In a wide sense, upright, righteous, virtuous, keeping the commands of God.\        1. Of those who seem to themselves to be righteous, who pride themselves to be righteous, who pride themselves in their virtues, whether real or imagined.\        2. Innocent, faultless, guiltless.\        3. Used of him whose way of thinking, feeling, and acting is wholly conformed to the will of God, and who therefore needs no rectification in the heart or life 1a.\    B. Approved of or acceptable of God.\    C. In a narrower sense, rendering to each his due and that in a judicial sense, passing just judgment on others, whether expressed in words or shown by the manner of dealing with them.
1486	dikaiwsiV	Dikaiosis	dik-ah'-yo-sis	Noun Feminine	1347	1. The act of God declaring men free from guilt and acceptable to him.\2. Abjuring to be righteous, justification.
1487	dikasthV	Dikastes	dik-as-tace'	Noun Masculine	1348	A judge, arbitrator, umpire.
1488	dikh	Dike	dee'-kay	Noun Feminine	1349	1. Custom, usage.\2. Right, just.\3. A suit at law.\4. A judicial hearing, judicial decision, esp. sentence of condemnation.\5. Execution of a sentence, punishment.\    A. To suffer punishment.\6. The goddess Justice, avenging justice.
1489	diktuon	Diktuon	dik'-too-on	Noun Neuter	1350	A net.
1490	dilogoV	Dilogos	dil'-og-os	Verb	1351	1. Saying the same thing twice, repeating.\2. Double tongued, double in speech, saying one thing with one person another with another (with the intent to deceive).
1491	dio	Dio	dee-o'	Conjunction	1352	Wherefore, on account off.
1492	diodeuw	Diodeuo	dee-od-yoo'-o	Verb	1353	1. To pass or travel through.\2. To travel here and there, go about.
1493	DionusioV	Dionusios	dee-on-oo'-see-os	Noun Masculine	1354	Dionysius = "devoted to Bacchus".
1494	dioper	Dioper	dee-op'-er	Conjunction	1355	On which very account.
1495	diopethV	Diopetes	dee-op-et'-ace	Adjective	1356	1. Fallen from Zeus, i.e. from heaven.\2. An image of the Ephesian Artemis which was supposed to have fallen from heaven.
1496	diorqwma	Diorthosis	dee-or'-tho-sis	Noun Feminine	1357	1. In a physical sense, a making straight, restoring to its natural and normal condition something which in some way protrudes or has got out of line, as broken or misshapen limbs.\2. Of acts and institutions, reformation.
1497	diorussw	Diorusso	dee-or-oos'-so	Verb	1358	To dig through: a house.
1498	Dioskouroi	Dioskouroi	dee-os'-koo-roy	Noun Masculine	1359	Castor and Pollux, were the twin sons of Jupiter and Leda, and were regarded as the tutelary divinities of sailors.
1499	dioti	Dioti	dee-ot'-ee	Conjunction	1360	1. On this account that, because.\2. For.
1500	DiotrefhV	Diotrephes	dee-ot-ref-ace'	Noun Masculine	1361	Diotrephes = "nourished by Jove".\A proud arrogant Christian mentioned in 3 Jo. 9.
1501	diplouV	Diplous	dip-looce'	Adjective	1362	Twofold, double.
1502	diplow	Diploo	dip-lo'-o	Verb	1363	To double.
1503	diV	Dis	dece	Adverb	1364	Twice.
1504	dismuriaV	Distazo	dis-tad'-zo	Verb	1365	To doubt, waiver.
1505	distomoV	Distomos	dis'-tom-os	Adjective	1366	1. Having a double mouth as a river.\    A. Used of the edge of the sword and of other weapons, so has the meaning of two-edged.
1506	discilioi	Dischilioi	dis-khil'-ee-oy	Adjective	1367	Two thousand.
1507	diulizw	Diulizo	dee-oo-lid'-zo	Verb	1368	To filter through, strain through, pour through a filter, strain out.
1508	dicazw	Dichazo	dee-khad'-zo	Verb	1369	To cut into two parts, cleave asunder, sever.
1509	dicostasia	Dichostasia	dee-khos-tas-ee'-ah	Noun Feminine	1370	Dissension, division.
1510	dicotomew	Dichotomeo	dee-khot-om-eh'-o	Verb	1371	1. To cut into two parts.\    A. Of the cruel method of punishment used by the Hebrews and others of cutting one in two.\2. Cut up by scourging, scourge severely.
1511	diyaw	Dipsao	dip-sah'-o	Verb	1372	1. To suffer thirst, suffer from thirst.\    A. Figuratively, those who are said to thirst who painfully feel their want of, and eagerly long for, those things by which the soul is refreshed, supported, strengthened.
1512	diyoV	Dipsos	dip'-sos	Noun Neuter	1373	Thirst.
1513	diyucoV	Dipsuchos	dip'-soo-khos	Adjective	1374	1. Double minded.\    A. Wavering, uncertain, doubting.\    B. Divided in interest.
1514	diwgmoV	Diogmos	dee-ogue-mos'	Noun Masculine	1375	Persecution.
1515	diwkthV	Dioktes	dee-oke'-tace	Noun Masculine	1376	Persecutor.
1516	diwkw	Dioko	dee-o'-ko	Verb	1377	1. To make to run or flee, put to flight, drive away.\2. To run swiftly in order to catch a person or thing, to run after.\    A. To press on: figuratively of one who in a race runs swiftly to reach the goal.\    B. To hostily pursue.\3. In any way whatever to harass, trouble, molest one.\    A. To persecute.\    B. To be mistreated, suffer persecution on account of something.\4. Without the idea of hostility, to run after, follow after: someone.\5. Metaph., to pursue.\    A. To seek after eagerly, earnestly endeavour to acquire.
1517	dogma	Dogma	dog'-mah	Noun Neuter	1378	1. Doctrine, decree, ordinance.\    A. Of public decrees.\    B. Of the Roman Senate.\    C. Of rulers.\2. The rules and requirements of the law of Moses; carrying a suggestion of severity and of threatened judgment.\3. Of certain decrees of the apostles relative to right living.
1518	dogmatizw	Dogmatizo	dog-mat-id'-zo	Verb	1379	To decree, command, enjoin, lay down an ordinance.
1519	dokew	Dokeo	dok-eh'-o	Verb	1380	1. To be of opinion, think, suppose.\2. To seem, to be accounted, reputed.\3. It seems to me.\    A. I think, judge: thus in question.\    B. It seems good to, pleased me, I determined.
1520	dokimazw	Dokimazo	dok-im-ad'-zo	Verb	1381	1. To test, examine, prove, scrutinise (to see whether a thing is genuine or not), as metals.\2. To recognise as genuine after examination, to approve, deem worthy.
1521	dokimh	Dokime	dok-ee-may'	Noun Feminine	1382	1. Proving, trial.\2. Approved, tried character.\3. A proof, a specimen of tried worth.
1522	dokimion	Dokimion	dok-im'-ee-on	Noun Neuter	1383	1. The proving.\2. That by which something is tried or proved, a test.
1523	dokimoV	Dokimos	dok'-ee-mos	Adjective	1384	1. Accepted, particularly of coins and money.\2. Accepted, pleasing, acceptable.
1524	dokoV	Dokos	dok-os'	Noun Feminine	1385	A beam.
1525	dolioV	Dolios	dol'-ee-os	Adjective	1386	Deceitful.
1526	doliow	Dolioo	dol-ee-o'-o	Verb	1387	To deceive, use deceit.
1527	doloV	Dolos	dol'-os	Masculine Neuter	1388	Craft, deceit, guile, skill.
1528	dolow	Doloo	dol-o'-o	Verb	1389	1. To ensnare.\2. To corrupt.
1529	doma	Doma	dom'-ah	Noun Neuter	1390	A gift.
1530	doxa	Doxa	dox'-ah	Noun Feminine	1391	1. Opinion, judgment, view.\2. Opinion, estimate, whether good or bad concerning someone.\    A. In the NT always a good opinion concerning one, resulting in praise, honour, and glory.\3. Splendour, brightness.\    A. Of the moon, sun, stars.\    B. Magnificence, excellence, preeminence, dignity, grace.\    C. Majesty.\        1. A thing belonging to God.\        2. The kingly majesty which belongs to him as supreme ruler, majesty in the sense of the absolute perfection of the deity.\    D. As apparent in their exterior brightness.\4. A most glorious condition, most exalted state.
1531	doxazw	Doxazo	dox-ad'-zo	Verb	1392	1. To think, suppose, be of opinion.\2. To praise, extol, magnify, celebrate.\3. To honour, do honour to, hold in honour.\4. To make glorious, adorn with lustre, clothe with splendour.\    A. To impart glory to something, render it excellent.\    B. To make renowned, render illustrious.\        1. To cause the dignity and worth of some person or thing to become manifest and acknowledged.
1532	DorkaV	Dorkas	dor-kas'	Noun Feminine	1393	Dorcas = "gazelle".\The name of a woman Peter raised from the dead.
1533	dosiV	Dosis	dos'-is	Noun Feminine	1394	1. A giving.\2. A gift.
1534	dothV	Dotes	dot'-ace	Noun Masculine	1395	A giver, bestower.
1535	doulagwgew	Doulagogeo	doo-lag-ogue-eh'-o	Verb	1396	1. To lead away into slavery, claim as one's slave.\2. To make a slave and to treat as a slave i.e. with severity, subject to stern and rigid discipline.
1536	douleia	Douleia	doo-li'-ah	Noun Feminine	1397	Slavery, bondage, the condition of a slave.
1537	douleuw	Douleuo	dool-yoo'-o	Verb	1398	1. To be a slave, serve, do service.\    A. Of a nation in subjection to other nations.\2. Metaph. to obey, submit to.\    A. In a good sense, to yield obedience.\    B. In a bad sense, of those who become slaves to some base power, to yield to, give one's self up to.
1538	doulh	Doule	doo'-lay	Noun Feminine	1399	A female slave, bondmaid, handmaid.
1539	douloV	Doulon	doo'-lon		1400	1. A slave, bondman, man of servile condition.\    A. A slave.\    B. Metaph., one who gives himself up to another's will those whose service is used by Jesus the Christ in extending and advancing his cause among men.\    C. Devoted to another to the disregard of one's own interests.\2. A servant, attendant.
1540	douloV	Doulos	doo'-los	Noun	1401	1. A slave, bondman, man of servile condition.\    A. A slave.\    B. Metaph., one who gives himself up to another's will those whose service is used by Jesus the Christ in extending and advancing his cause among men.\    C. Devoted to another to the disregard of one's own interests.\2. A servant, attendant.
1541	doulow	Douloo	doo-lo'-o	Noun Masculine	1402	1. To make a slave of, reduce to bondage.\2. Metaph. give myself wholly to one's needs and service, make myself a bondman to him.
1542	doch	Doche	dokh-ay'	Noun Feminine	1403	A feast, banquet.
1543	drakwn	Drakon	drak'-own	Noun Masculine	1404	A dragon, a great serpent.
1544	drassomai	Drassomai	dras'-som-ahee	Verb	1405	To grasp with the hand, take.
1545	dracmh	Drachme	drakh-may'	Noun Feminine	1406	A drachma, a Greek silver coin about the same weight as a Roman denarius.
1546	drepanon	Drepanon	drep'-an-on	Noun Neuter	1407	A sickle, a pruning-hook, a hooked vine knife, such as reapers and vinedressers use.
1547	dromoV	Dromos	drom'-os	Noun Masculine	1408	A course.
1548	Drousilla	Drousilla	droo'-sil-lah	Noun Feminine	1409	Drusilla = "watered by the dew".\The daughter of Agrippa the elder, wife of Felix, the governor of Judaea, a most licentious woman.
1549	dunamai	Dunamai	doo'-nam-ahee	Verb	1410	1. To be able, have power whether by virtue of one's own ability and resources, or of a state of mind, or through favourable circumstances, or by permission of law or custom.\2. To be able to do something.\3. To be capable, strong and powerful.
1550	dunamiV	Dunamis	doo'-nam-is	Noun Feminine	1411	1. Strength power, ability.\    A. Inherent power, power residing in a thing by virtue of its nature, or which a person or thing exerts and puts forth.\    B. Power for performing miracles.\    C. Moral power and excellence of soul.\    D. The power and influence which belong to riches and wealth.\    E. Power and resources arising from numbers.\    F. Power consisting in or resting upon armies, forces, hosts.
1551	dunamow	Dunamoo	doo-nam-o'-o	Verb	1412	To make strong, confirm, strengthen.
1552	dunasthV	Dunastes	doo-nas'-tace	Noun Masculine	1413	1. A prince, a potentate.\2. A courtier, high officer, royal minister of great authority.
1553	dunatew	Dunateo	doo-nat-eh'-o	Verb	1414	1. To be powerful or mighty.\2. Show one's self powerful.\3. To be able, have power.
1554	dunatoV	Dunatos	doo-nat-os'	Adjective	1415	1. Able, powerful, mighty, strong.\    A. Mighty in wealth and influence.\    B. Strong in soul.\        1. To bear calamities and trials with fortitude and patience.\        2. Strong in Christian virtue.\2. To be able (to do something).\    A. Mighty, excelling in something.\    B. Having power for something.
1555	dunw	Duno	doo'-no	Verb	1416	1. To go into, enter.\2. Go under, be plunged into, sink in.
1556	duo	Duo	doo'-o	Noun	1417	The two, the twain.
1557	dus	Dus-	doos		1418	Prefix conveying the idea of difficulty, opposition, injuriousness, similar to our "mis-" or "un-" prefixes.
1558	dusbastaktoV	Dusbastaktos	doos-bas'-tak-tos	Adjective	1419	Hard to be borne.
1559	dusenterion	Dusenteria	doos-en-ter-ee'-ah	Noun Neuter	1420	Dysentery, bowel ailment.
1560	dusermhneutoV	Dusermeneutos	doos-er-mane'-yoo-tos	Adjective	1421	Hard to interpret, difficult to explain.
1561	dusiV	Duskolos	doo'-kol-os	Adjective	1422	1. Hard to find agreeable food for, fastidious about food.\2. Difficult to please, always finding fault.\3. Difficult.
1562	duskolwV	Duskolos	doos-kol'-oce	Adverb	1423	With difficulty.
1563	dusmh	Dusme	doos-may'	Noun Feminine	1424	1. The setting of the sun.\2. The region of the sunset, the west.
1564	dusnohtoV	Dusnoetos	doos-no'-ay-tos	Adjective	1425	Hard to be understood.
1565	dusfhmew	Dusphemia	doos-fay-mee'-ah	Noun Feminine	1426	1. The condition of one who is defamed.\    A. Ill-repute, and the action of one who uses disgraceful language.
1566	dwdeka	Dodeka	do'-dek-ah	Noun	1427	Twelve.
1567	dwdekatoV	Dodekatos	do-dek'-at-os	Adjective	1428	Twelfth.
1568	dwdekafulon	Dodekaphulon	do-dek-af'-oo-lon	Noun Neuter	1429	The twelve tribes, used collectively of the Israelitish people, as consisting of the twelve tribes.
1569	dwma	Doma	do'-mah	Noun Neuter	1430	1. A building, house.\2. A part of a building, dining room, hall.\3. House top, roof.\    A. The house tops of the Orientals were (and still are) level and frequented not only for walking, but also for meditation and prayer.
1570	dwrea	Dorea	do-reh-ah'	Noun Feminine	1431	A gift.
1571	dwrean	Dorean	do-reh-an'	Adjective	1432	Freely, undeservedly.
1572	dwreomai	Doreomai	do-reh'-om-ahee	Verb	1433	To present, bestow.
1573	dwrhma	Dorema	do'-ray-mah	Noun Neuter	1434	A gift, bounty, benefaction.
1574	dwron	Doron	do'-ron	Noun Neuter	1435	1. A gift, present.\    A. Gifts offered in expression of honour.\        1. Of sacrifices and other gifts offered to God.\        2. Of money cast into the treasury for the purposes of the temple and for the support of the poor.\2. The offering of a gift or of gifts.
1575	ea	Ea	eh'-ah		1436	Interjection expressive of indignation, or of wonder mixed with fear, ha! ah!
1576	ean	Ean	eh-an'	Conjunction	1437	If, in case.
1577	eautou	Heautou	heh-ow-too'		1438	Himself, herself, itself, themselves.
1578	eaw	Eao	eh-ah'-o	Verb	1439	1. To allow, permit, let.\2. To allow one to do as he wishes, not to restrain, to let alone.\3. To give up, let go, leave.
1579	ebdomhkonta	Hebdomekonta	heb-dom-ay'-kon-tah	Noun	1440	1. Seventy.
1580	ebdomhkontakiV	Hebdomekontakis	heb-dom-ay-kon-tak-is	Adverb	1441	1. Seventy times seven times.\    A. Countless times.
1581	ebdomoV	Hebdomos	heb'-dom-os	Adjective	1442	Seventh.
1582	Eber	Eber	eb-er'	Noun Masculine	1443	Eber or Hebrew = "the region beyond".\The son of Salah, and great grandson of Shem, one of Abraham's ancestors.
1583	EbraikoV	Hebraikos	heb-rah-ee-kos'	Adjective	1444	Hebrew.
1584	EbraioV	Hebraios	heb-rah'-yos	Noun Masculine	1445	1. Hebrew.\    A. Any one of the Jewish or Israelitish nations.\2. In a narrower sense, those who live in Palestine and use the language of the country.\3. All Jewish Christians, whether they spoke Aramaic or Greek.
1585	EbraiV	Hebrais	heb-rah-is'	Noun Feminine	1446	Hebrew, the Hebrew language, not that however in which the OT was written but the Chaldee, which at the time of Jesus and the apostles had long superseded it in Palestine.
1586	Ebraisti	Hebraisti	heb-rah-is-tee'	Adverb	1447	In Hebrew, i.e. in Chaldee.
1587	eggizw	Eggizo	eng-id'-zo	Verb	1448	1. To bring near, to join one thing to another.\2. To draw or come near to, to approach.
1588	eggrafw	Eggrapho	eng-graf'-o	Verb	1449	1. To engrave, inscribe, write in or on.\    A. To record, enrol.
1589	egguoV	Egguos	eng'-goo-os	Adjective	1450	A surety, a sponsor.
1590	egguV	Eggus	eng-goos'	Adverb	1451	1. Near, of place and position.\    A. Near.\    B. Those who are near access to God.\        1. Jews, as opposed to those who are alien from God and his blessings.\        2. The Rabbis used the term "to make nigh" as equivalent to "to make a proselyte".\2. Of time.\    A. Of times imminent and soon to come pass.
1591	egguteron	Egguteron	eng-goo'-ter-on	Adverb Neuter	1452	Nearer.
1592	egeirw	Egeiro	eg-i'-ro	Verb	1453	1. To arouse, cause to rise.\    A. To arouse from sleep, to awake.\    B. To arouse from the sleep of death, to recall the dead to life.\    C. To cause to rise from a seat or bed etc.\    D. To raise up, produce, cause to appear.\        1. To cause to appear, bring before the public.\        2. To raise up, stir up, against one.\        3. To raise up i.e. cause to be born.\        4. Of buildings, to raise up, construct, erect.
1593	egersiV	Egersis	eg'-er-sis	Noun Feminine	1454	1. A rousing, excitation.\2. A rising up.\3. Resurrection from the dead.
1594	egkaqetoV	Egkathetos	eng-kath'-et-os	Adjective	1455	1. Secretly to lie in wait, a spy.\2. One who is bribed by others to entrap a man.
1595	egkainia	Egkainia	eng-kah'-ee-nee-ah	Noun Neuter	1456	1. Dedication, consecration.\    A. In particular the annual feast celebrated eight days beginning in the 25th of Chislev (middle of our December), instituted by Judas Maccabaeus [164 BC] in memory of the cleansing of the temple from the pollution of Antiochus Epiphanes.
1596	egkanizw	Egkainizo	eng-kahee-nid'-zo	Verb	1457	1. To renew.\2. To do anew, again.\3. To initiate, consecrate, dedication.
1597	egkalew	Egkaleo	eng-kal-eh'-o	Verb	1458	1. To come forward as accuser against, bring charge against.\2. To be accused.
1598	egkataleipw	Egkataleipo	eng-kat-al-i'-po	Verb	1459	1. Abandon, desert.\    A. Leave in straits, leave helpless.\    B. Totally abandoned, utterly forsaken.\2. To leave behind among, to leave surviving.
1599	egkatoikew	Egkatoikeo	eng-kat-oy-keh'-o	Verb	1460	To dwell among.
1600	egkaucaomai	Egkentrizo	eng-ken-trid'-zo	Verb	1461	1. To cut into for the sake of inserting a scion.\2. To inoculate, ingraft, graft in.
1601	egklhma	Egklema	eng'-klay-mah	Noun Neuter	1462	Accusation: the crime of which one is accused.
1602	egkomboomai	Egkomboomai	eng-kom-bo'-om-ahee	Verb	1463	Knot or band by which two things are fastened together, to fasten or gird one's self.
1603	egkoph	Egkope	eng-kop-ay'	Noun Feminine	1464	1. A cutting (made in a road to impede an enemy in pursuit).\2. A hindrance.
1604	egkoptw	Egkopto	eng-kop'-to	Verb	1465	1. To cut into, to impede one's course by cutting off his way.\2. Hinder.
1605	egkrateia	Egkrateia	eng-krat'-i-ah	Noun Feminine	1466	Self-control (the virtue of one who masters his desires and passions, esp. his sensual appetites).
