KJV	Modern Definition
Husks	(OT) chaff, what the grain comes out of (NT) pods from the carob tree, suitable for feeding animals, and also eaten by the poor
Hyssop	A small shrub, a bitter herb
Ignominy	Shame, confusion, contempt, dishonor
Illuminate	Enlighten
Imagery	Pictures
Imagination	An evil plan or scheme
Imagine	An evil plan or scheme
Imitate	To follow as a role model
Immortal	Incapable of corruption
Immortality	Incorruption, an imperishable state
Immutable	Unchangeable
Impart	To share
Impenitent	Without remorse
Imperious	Hard-faced, bold
Implacable	Unyielding, obstinate
Implead	Take to court, to bring an accusation against
Importunity	Barefacedness, "staying in his face", a persistent begging and urging, lack of modesty, shamelessness
Impotent	Powerless, ineffective, crippled
Impudent	Strong of forehead, sharp of face, stubborn, hard-faced
Impute	To reckon or count
In any wise	Surely
In his	Have an intimate relationship with
In no wise	By no means, assuredly not
Inasmuch	Because
Incontinency	No self control in sexual matters, lack of self-control, unbridled, uncontrollable
Incontinent	No self control in sexual matters, lack of self-control, unbridled, uncontrollable
Indignation	Wrath, anger
Indite	A lively dictation of words to someone else
Inditing	Overflowing, boiling over
Infamy	An evil report
Infidel	An unbeliever
Iniquity	Lawlessness, sin, wickedness, evil
Injurious	To be insolent and insulting
Innumerable	Without number, many
Inordinate	A doting love, pathetic lust, without restraint, immoderate
Inquisition	To inquire, search out
Insomuch	So that
Instant	Earnestly, urgently, insistently
Instantly	Diligently, earnestly
Instructor	Male slave responsible for a boy to take him to school
Intelligence	To come to an understanding with another
Intermeddle	To mix or take part in
Intreat	To smooth down, be gracious, ask for
Intreated	To smooth down, be gracious, ask for
Intreaty	To smooth down, be gracious, ask for
Inventions	Thoughts, ideas, deeds
Inward	Intimate
Inwards	Entrails
Issue	A flowing, to go forth, a fountain, outgoings
Jacinth	A semi precious stone, like a reddish zircon
Jangling	Empty and useless, foolish talk
Jealous	Zealous
Jewess	A female jew
Joined hard	To border, to be adjacent to
Jonas	Jonah
Jot	An iota, the smallest letter in the Greek alphabet The Hebrew equivalent is Yod, a Y-shaped like a comma It is used to express the smallest thing
Judge	To condemn, sentence to judgment
Keep	Guard
Keep under	Buffet
Kerchief	A cloth covering for the head, a veil
Kin	Family
Kindred	Tribe, family
Kine	Horned cattle
Kinsfolk	Family, relatives
Kinsmen	Neighbors, relatives
Knew	Recognized, or had sexual relations with
Knop	A carved bud or flower
Knops	Decorative ornaments
Know	(var) to be sexually intimate
Lade	To load, loaded, to burden
Laden	Loaded, burdened
Ladeth	Burdens, loads
Lading	A burden, load, cargo
Lame	Crippled
Lancet	A spear
Languish	To become weak or sick, to wither, to be made weak
Lapwing	A hoopoe or woodcock
Lasciviousness	A shameless desire for passion, unbridled sensuality, excess
Latchet	A thong or shoelace
Latter	Last
Laud	To applaud, praise
Laver	A pan or basin for washing
Lawyer	Person skilled in the Law of Moses
Layeth	Store
Leasing	Lying, falsehood, deceit
Leathern	Made of skin
Leek	A vegetable similar to a green onion
Lees	The sediment left in the bottom of a wine barrel when the wine is drained off
Legion	An indefinite large number
Lentiles	Beans, and/or the plants from which they come
Let	To hinder or prevent, or sometimes exactly the opposite, to allow (context!)
Letteth	Restrains
Leviathan	An enormous sea serpent, a crocodile
Lewd	Vulgar or base actions
Lewdness	Vulgar or base actions, villainy, wickedness, crime
Libertines	Jews who had been captives at Rome, but had gained their liberty
Light	Reckless or unstable persons
Lightly	Easily or quickly
Lightness	Reckless or unstable persons
Like	Likely
Like unto	Corresponding
Liking	To be healthy and strong
List	A desire or wish, willed
Listed	A desire or wish, willed, to have pleased, chosen
Listeth	To please, to choose
Litter	A covered coach, a cart carried by others with poles
Lively	Vigorous, alive, living
Loft	Story (floor), roof
Log	A liquid measure, about two thirds of a pint
Loins	The lower back, waist
Longsuffering	To bear with patiently
Look for	Await
Lop	To cut off
Lot	Portion, destiny, fate
Lothe	Loath, loathing
Lothing	Loath, loathing
Lovingkindness	Mercy
Lowering	To appear gloomy, overcast
Loweth	To moo (cow noise)
Lowing	Mooing, making cow noises
Lucre	Dishonest gain
Lunatic[k]	Epileptic
Lust	Any eager desire for something pleasing to the flesh
Made manifest	To be made visible, to make clear
Magnifical	To make or become great
Magnified	To make or become great
Magnify	To praise or honor Exalt, boast
Maimed	To lose a limb, crippled, or deprived of some member
Maintenance	Upkeep, an allotment
Make	An interrogative, "what are you ?"
Make for	Incline toward
Malefactor	Evil doer
Malice	Ill-will, badness
Mallows	A flowering plant, or herb
Mammon	Wealth, riches, earthly goods, property
Mandrake	Some lovely fruit or flower
Mandrakes	love apple, a plant with mild narcotic properties, used as an aphrodisiac
Maneh	A weight, one sixtieth of a talent
Manifest	To make openly known, appear
Manifold more	Many times more
Manner	A kind or sort of something
Mansion	A place to live, a home or a room, an office, abiding place
Mantle	Garment, covering
Mar	Damage to uselessness
Marish	Marshy, pond
Marred	Ruined
Martyr	A witness
Marveled	Afraid
Maschil	A notation found preceding certain psalms, indicating that great skill is required to execute the music properly
Master	A teacher or lord, a rabbi
Matrix	Womb
Mattock	A grubbing hoe, spade, agricultural tool
Maul	A spiked club or mallet
Maw	The stomach
Mazzaroth	Stars, planets, the zodiac
Mean	Common, ordinary
Meat	Food of almost any description
Meat offering	Meal offering
Mediator	One who intervenes between two parties
Meek	Gentle, tender, free from pride
Meet	(var) right, proper useful, fitting, agreeable, fit, proper
Mene	To number
Menstealers	Kidnapper
Merchantmen	Merchants
Mercies	Compassion
Mercurius	Hermes, the god mercury
Mess	A serving of food, a portion, a gift
Messias	Anointed One
Mete	Measure out, weigh, to deal out
Meted	Measure out, weigh
Meteyard	A measure of distance, a measure of length
Michtam	A notation found preceding certain psalms, possibly indicating a particular tune, the exact meaning is uncertain
Milch	To suckle, giving suck, milking
Millet	A type of grain, a grain used for breads and cereals
Mince	To walk in an exaggeratedly dainty fashion
Mincing	Taking short, quick steps, tripping
Mingle	To mix
Minish	Diminish, to be made few
Minister	Attendant, servants
Ministration	Service
Minstrel	A player on a stringed instrument
Mire	Mud, clay-like soil
Mirth	Gladness, rejoicing
Miry	Muddy
Mistress	Female head of a house
Mite	A lepta, a copper coin worth about 1/8th of a cent, a Jewish coin
Mitre	The headdress or turban worn by the high priest
Mock	To verbally abuse, jeer at, or ridicule
Mocked	Deceived
Moderation	Graciousness or forbearance
Molten	A metal object formed by casting in a mold Melted metal
Moreover	Also, even, yet, and
Morrow	Tomorrow, the morning after
Morsel	A cake, food
Mortify	To put to death, to take away
Mote	A small dry particle
Motions	Emotions or impulses, passions
Mount	A siege mound or embankment used to assault a fortification
Mounting	Going up
Much	Many
Muffler	An ornament worn by women
Mufflers	A veil over the mouth
Munition	A fortress, stronghold
Murrain	A plague or pestilence
Muse	Meditate
Muster	Cause to assemble, inspect, to number
Myrrh	A substance derived from a form of balsam tree, used in the holy anointing oil, embalming, and as a perfume Has stupifying properties when mixed with wine
Myrtle	A small tree with green leaves and white flowers Allspice is made from it's dried seeds
Napkin	Handkerchief
Nard	Spikenard
Naturally	Truly
Naught	Bad or evil, useless, nothing, vain
Naughtiness	Wickedness, evil
Naughty	Wickedness, evil
Nave	Arched or concave
Nay	No, not
Necessity	Necessary
Necromancer	One who inquires of the dead
Needle's eye	The animal gate, next to the main city gate, where livestock were permitted to enter (the main gate was for human traffic only).  Most livestock were goats and sheep, but horses and donkeys could enter easily. The very rare camel was so large it was required to kneel and crawl through
Needs	Necessarily or of necessity
Neesing	Sneezing
Neginoth	Stringed instruments
Neigh	To cry aloud
Neighing	To cry aloud
Nephew	An offspring or descendant, grandson
Nether	The lower of two, something lower
Nettle	A stinging plant, a thorny shrub, prickly weed
Nicolaitans	From the Greek, nikao, to conquer – laos; the laity or people Those who divide the church into two groups: clergy and laity Some believe that the term refers to those who lived licentiously
Nigh	Near
Nitre	Carbonate of soda
No little kindness	Exceptional kindness
Noised	Heard
Noisome	Hurtful, bad, foul
None effect	No effect
Not a whit	Not the least bit
Nought	Nothing, having no value
Nourish	Nurture
Novice	A beginner or new Christian
Nurse	To suckle, as a mother her child
Nurture	Training, discipline
Obeisance	To bow down, show respect
Observe	Treat respectfully, care for, keep watch
Observed	Kept safe
Obstinate	Stubborn
Occasion	Opportunity
Occupy	Do business, a trade
Occurent	Occurrence
Odious	To be hateful, abhorrent, to stink, loathsome
Offend	A stumbling block, a snare
Offscouring	What is scraped off, scum, filth
Oft	Often, frequently
Ointment box	Flask
Omer	One half gallon dry measure
Omnipotent	All powerful, all mighty
On this wise	In this manner
Once	Ever, yet, still, any
Onycha	perfume crab, a type of mussel which emits a strong fragrance when it's shell is burned
Onyx	A dark green stone
Open	Explain
Or ever	Before
Oracle	The inner sanctuary, "Holy of Holies"
Ordain	Establish, appoint, decree, to form, to place
Ordinance	Tradition
Osee	Hosea
Ospray	An osprey
Ossifrage	bone-breaker, a large vulture that carries bones into the air and drops them on rocks to break them open, that it might eat the marrow
Ouches	Gold settings for jewels, sockets
Ought	Anything, any An obligation, something needful, any one
Out of	At once
Outgoings	The extreme edges of a country
Outlandish	Of a foreigner
Outwent	Went faster than another, to go before in advance
Overcharge	To excess, to overburden
Overcharged	To be weighed down, loaded
Overdrive	To drive a herd of animals too aggressively
Overlive	To outlive another person
Overpass	To go too far, trespass
Overpast	To be finished
Overrun	To run faster than another
Paddle	A spade point on the end of a lance, used for an entrenching tool
Pained	Anguish
Palmerworm	Caterpillar, or cutting locust
Palsy	Paralyzed
Pang	Pain, anguish
Paps	Nipples, breasts, bosoms
Parable	An utterance that involves a comparison
Paramour	A male or female lover
Pare	Prepare
Part	To distribute among several recipients
Partaker	To take part
Partial	To judge unfairly, show partiality
Particular	Individually, each, in detail
Passage	A place for people to pass through
Passenger	Traveler
Pastor	One who feeds the flock, shepherd
Pate	Forehead, crown of the head
Pavilion	Tabernacle, dwelling
Peculiar	Special, something personally treasured
Peeled	Polished or ground smooth, rubbed bare, bald
Peep	Whisper, as an incantation
Pence	A denarion or denarius, a days wages
Penny	A denarion or denarius, a days wages
Pennyworth	A denarion or denarius, a days wages
Penury	Lack, poverty, need
Peradventure	By chance, maybe, perhaps
Perdition	Destruction
Peres	To divide
Perfect	Complete, spiritually mature
Perform	Finish
Persecute	Chase, to pursue after in order to overtake
Persons	From the Latin persona, mask - the outward appearance of a person
Persuade	To argue or debate Entice Be convinced of something
Pestilent	A person who is like a plague
Phylactery	A small leather box worn on the arm or forehead, containing scripture verses
Piety	Godliness
Pill	Peel
Pilled	To have stripped off skin or bark
Pinnacle	Anything that runs out to a point
Pitch	Encamp, set up a tent, move a tent, a thick, dark, sticky substance
Pitiful	Show pity, be merciful, tender hearted, compassionate
Plain	Complete as is, needing no improvements, simple
Plaister	Plaster
Plait	To braid, fold, or twist
Plaiting	To braid, fold, or twist, intertwining
Platted	Plaited, braided, intertwined
Plead	Legal term meaning to seek a judgment
Pledge	Something held as surety for money due
Pleiades	A cluster of seven stars
Plough	Plow
Plowman	Farmer
Plummet	A plumb-bob
Poll	Of the head: as in a census, or of cutting the hair or beard off the head
Pommel	An ornament at the top of a pillar, a bowl, or crown (anything round)
Ponder	To consider carefully, meditate
Port	Gate
Porter	Gatekeeper, a doorkeeper
Portion	Inheritance or heritage
Post	The runner that carries news, a courier
Potentate	One who possesses power
Potsherd	A fragment of broken pottery
Pottage	Any boiled dish or food
Pourtray	Portray, engrave
Power	Authority
Pransing	Galloping, as a galloping horse
Prate	To talk long and foolishly, babbling, chattering
Prating	To talk long and foolishly, babbling, chattering
Precept	Law
Predestinated	Determined beforehand
Pre-eminence	What is over and above, to be first
Prefer	Promote or outrank Favoritism
Presbytery	An assembly of elders
Presently	Immediately, right now
Press	Crowd
Press upon	Pushed forward toward
Pressed out of	Oppressed beyond
Prevent	To go before, to precede
Prey	Plunder, booty
Prick	Thorns. An iron ox goad, hence the proverb, "to kick against the goads", ie, to offer perilous and useless resistance; a rod with a sharp point
Pricks	Thorns. An iron ox goad, hence the proverb, "to kick against the goads", ie, to offer perilous and useless resistance; a rod with a sharp point
Print	To engrave
Privily	In private, secret, hidden
Privy	Private, private knowledge
Privy to	Private, private knowledge
Procureth	To seek
Profane	Common, unclean, or blasphemous
Profit withal	For the common good
Profited	Advanced
Profound	Gone deeply into
Progenitor	An ancestor, parents
Prognosticator	A fortune teller, a foreteller of the future
Prolonged	Postponed
Proper	Own (this is where we get the word property)
Proper good	Private property
Prophesy	Inspired preaching
Propitiation	What satisfies or appeases, covering, atoning sacrifice
Proselyte	A religious convert
Prospect	Face
Provender	Food provided for animals
Proverb	A dark or puzzling saying
Proverbs	Figures of speech
Provide	Prepare
Providence	Wise guidance
Provoke	Incite or move
Psalm	A song, a melody
Psaltery	A stringed instrument which is plucked
Publican	A regional tax collector who subcontracted the collecting to subordinates
Publish	To say or tell around, to cause to be known, to herald
Puff	To breathe, blow up
Pulse	Peas, beans, lentils, etc vegetables, used for food
Purchase	To gain or acquire
Purge	To rid, cleanse or purify
Purloin	To hide away so as to take wrongfully
Purloining	Stealing, pilfering
Purtenance	Something that pertains to something else, animal intestines, inwards
Push	To gore, used of oxen
Put away	Divorce
Putrifying	A wound that has dead flesh and is decaying, pertaining to gangrene
Pygarg	A species of antelope
Quarrel	A grudge, looking for trouble
Quaternion	A group of four
Quick	Alive, make alive
Quicken	Alive, make alive
Quit	Keep on
QUIT	Blameless, innocent
Quit you	Be brave
Quit you like men	To show one's self a man
Rabbi	Teacher, master
Rabboni	My great teacher, master
Raca	Vain, empty (Aramaic for "spitting")
Rahel	Rachel
Rail	To speak injuriously, to slander, reviling
Railer	To speak injuriously, to slander, reviling
Railing	To speak injuriously, to slander, reviling
Raiment	Clothing, a garment, apparel, covering
Rain	Teach
Rampart	A low outer wall, fortification
Range	Where animals range in search of food. Ranks of soldiers. A stove
Ranging	Running to and fro, wandering
Rank	Fat
Rase	Raze, to scrape bare
Rasor	Razor
Ravening	Plundering
Ravish	To rape, lie with, humble
Raw	Living, alive Uncooked
Raze	To demolish, to strip bare
Reason	Think
Reasoned	Thought
Reasoning	Argument
Rebuke	To reprimand, strongly warn, restrain
Recompense	To repay, reward, restore
Record	A witness or testimony
Redound	To exceed, to be over and above
Refrain	To restrain or hold back
Refuse	Forsake, abandon, reject
Rehearse	To speak, declare, expound
Reins	The area of the kidneys, emotions Modern culture would substitute the idea of the heart, yhe innermost parts of man
Remembrance	(var) (once) in Isaiah 57:8, an idol
Remission	A sending away, passing by, forgiveness
Remit	To send away, to dismiss, set free
Remove	Move or shake
Rend	To break off in pieces, rip apart, tear, to divide
Render	Recompense or repay
Renounce	To speak away, disclaim, to disown
Renown	A great name or well-known
Rent	Something torn away, a division, a split, broken
Rentest	Distort
Repent	To change one's mind and purpose, to regret
Replenish	To fill The present meaning of "refill" is a modern concept
Report	Something commonly known
Reproach	Disgrace, shame
Reprobate	Impure, rejected, disqualified, unapproved, rejected after testing
Reproof	A rebuke, admonition or correction, a scolding
Require	Ask, demand
Requite	To repay, give back, recompense, repay, restore
Rereward	The last, furthest back, the ending, the rear guard, towards the rear
Resemble	To compare, liken
Revelling	A feast resulting in carousing
Reverence	Obeisance, respect to another When used toward people, respect When used toward god, deep respect of the highest order
Reverend	Worthy of the highest respect and reverence, dreadful Inspiring fear Ps 111:9
Revile	To abuse, attack with evil words
Ribband	Cord, ribbon
Rid	Rescue
Riddance	Come to an end, exhaust
Rie	Rye, a grain
Rifle	To plunder, spoil
Ringstraked	Stripes around the body
Riot	Loose living, debauchery
Riotous	Loose living, debauchery
Rising	Swelling
Roe	A young deer
Roll	Scroll
Rude	Unlearned
Rudiment	An elemental thing, first principle
Rudiments	Elements
Rue	A shrubby plant about two feet high, used for medicinal purposes
Rumour	Rumor What is heard, a report
Rush	(var) a reed growing in moist places
Sabbath	A rest, cessation from work
Sackbut	A musical instrument, possibly a harp, or else possibly a brass horn
Sackcloth	A crude garment
Safeguard	Safe keep
Saffron	A perfume and dye derived from the crocus plant
Saints	Men and women of God
Salt	The dead sea
Salutation	An embrace, public recognition, a greeting
Salute	To greet by embracing and kissing
Sanctification	The act of making a thing pure and holy
Sanctify	To be sacred and set apart
Sapphire	A precious stone, bright bluish purple in color
Sardine	A semi precious stone, probably a form of carnelian agate, similar to a ruby
Sardius	A semi precious stone, probably a form of carnelian agate, similar to a ruby
Sardonyx	A semi precious stone, combining qualities of chalcedony and agate
Satan	Adversary
Satiate	To satisfy, fill
Satyr	A creature with the torso and upper body of a man, and from the waist down, a he-goat.  This is a corruption of the original Hebrew word, which simply referred to a male goat.
Save	Except, besides
Savour	Fragrance, pleasure in a good odor or taste
Savoury	Fragrance, pleasure in a good odor or taste
Scabbard	A case or covering for a sword
Scall	Scab or eruption of the skin
Scarce	Just barely or with difficulty
Schoolmaster	Male slave responsible for a boy to take him to school
Scourge	Whip
Scrabble	To scrape with the hands, make a mark
Scrip	A wallet or pouch, apparently somewhat similar to a modern "fanny pack", a bag, a sack
Scripture	That which is written, book, letter
Scull	Skull
Sea	The laver of the temple of Solomon, containing at least 16,000 gallons of water, large basin, or large body of water, like the lake of Galilee
Sect	A group or division, a party
Secure	Safe
Sedition	An uproar, insurrection, dissension
Seethe	To cook by boiling
Selah	Pause
Selfsame	Identical
Selvedge	The end or edge of a woven or knitted fabric
Sepulchere	A place of burial, grave
Serjeant	Sergeant
Servant	Slave
Serve	Enslave
Servile	Laborious
Servitor	Attendant, he who performs as a servant
Setter (forth)	A tale teller
Settle	Ledges around the altar of the temple, the pedestal block
Sevenfold	Multiplied by seven
Sever	To separate
Several	Separate, single, each, individually
Several house	Separated house, segregated place
Severally	Individually
Shambles	Meat market, bloody
Shamefacedness	From shame fastness; Normal proper modesty rooted in a good character
Shapen	Created, brought forth
Share	Plowshare, mattock, or sickle
Sheaf	Bundle of grain
Sheath	A case or covering for a sword
Sheepmaster	Sheep owner
Shekel	A denomination of Hebrew money equal to 220 grains of silver
Sherd	A piece of broken pottery
Sheriff	One knowledgeable in the law
Shew	Show
Shiggaion	A particular type of prayer-psalm of David, Ps 7 the meaning is uncertain
Shigionoth	A particular type of prayer-psalm of Habakkuk, chapter 3 the meaning is uncertain
Shipping	To leave by boat
Shivers	Pieces, splinters
Shoes	Sandals
Should be	Was
Show again	Show
Shroud	Shade or protection
Signet	A seal or stamp
Silverling	Silver coin, shekel
Similitude	Likeness or image of something, representation
Simple	Innocent, honest, straightforward, harmless
Simplicity	Liberality, purity
Sincere	Without deceit, honest
Sincerity	With incorruption
Single	Clear, sound, healthy
Singular	Notable, special
Sith	Since
Situate	Situated
Skilfull	Competence, understanding, wise
Skill	Competence, understanding, wise
Sleight	A deception, trickery, entrapment by deceit
Slime	Asphalt, bitumen
Slips	Branches
Slow bellies	Idle gluttons
Sluices	Damns
Smart	To be sore distressed
Smell	A pleasant odor
Smite	To strike, beat
Smiter	One who beats or strikes
Smote off	To have taken off or away
Snuff	Snort, an expression of disdain, as when a cow snorts at something distasteful. An animal testing the wind
Snuff dish	Implements for working with the incense or lamps in the tabernacle or temple
Snuffers	Implements for working with the incense or lamps in the tabernacle or temple
Sobriety	Self-restraint, discretion, prudence
Sod	To cook by boiling
Sodden	To cook by boiling
Sodomite	A person who engages in homosexual acts
Soever	Where ever
Solace	To delight in, rejoice oneself in
Sometimes	Time past, formerly
Son	Servant
Soothsayer	A foreteller of the future by astrology
Soothsaying	Fortune-telling
Sop	A little bit, morsel
Sore	As an adjective or adverb, intensely or severely, very great
Sottish	Stupid, foolish
Soundness	Health
Space	A period of time
Sped	Past tense of speed
Speed	Success, good fortune
Spikenard	A precious ointment made from a herb in the valerian family
Spindle	One of the implements used in weaving with a loom
Spiritual wickedness	Wicked spirits
Spite	Vexation, anger, grief
Spitefully	To treat shamefully
Spittle	Spit, saliva
Spoil	To plunder or take captive, loot, booty, prey
Spring	Daybreak
Sprinkle	Astonish, startle
Spue	To vomit out
Stablish	Establish
Stablisheth	Establishes, makes steadfast
Stagger	Waver, hesitate As a drunk
Stanched	Ceased, stopped, stood still
Standard	Flag, banner
Stature	Maturity of life, age, adultness
Staves	Rods, clubs
Stay	Remain, sustain, support, something one relies upon
Stayed	Detained, held
Stead	Place
Stedfast	Firm, fixed, steady
Steward	Manager
Stiff hearted	Hard hearted, stubborn
Still	Ongoing, continuous, always
Stirs	Noises, tumults
Stomacher	A decorative garment worn on the chest by women, a fine robe
Store	An ample supply
Stout	Strong, great
Stout hearted	Mighty of heart, brave
Straightaway	Immediately
Strain (at a gnat)	Using a sieve to remove the tiniest of insects (but then not noticing or caring if a camel is swallowed)
Strain at	Strain out
Strait	Tight or narrow, distress
Straiten	Hem in, distress
Straitened	Hindered, impeded
Straitly	Tightly, carefully
Strange	Foreign, foreigner, alien
Stranger	Foreign, foreigner, alien
Strangers	Visitors
Strawed	To scatter or spread on the ground
Strength	Safety, a stronghold or fortress
Striker	One apt to inflict blows or hit another
String	Bond
Strove	Fought
Study	Strive
Stuff	Property, goods, possessions
Suborn	To bribe someone to give false testimony, to induce, bribe, prompt
Subtil	Wise, crafty, deceitful
Suburbs	Open land, pasture
Subvert	To overthrow, destroy, subversion
Succour	To help, aid, assist
Succourer	Helper
Suchlike	Likewise
Suddenly	Hastily
Suffer	Pain, hardship Also used to signify permitting or allowing something to occur
Sufficient	Competent
Sumptuously	Splendidly
Sundered	Parted, separated, divided
Sundry	Various, many
Sup	To dine, to make a meal
Superfluity	Super abundance, overflowing
Superfluous	Over and above, more than enough
Superscription	Inscription, title, a writing over
Superstition	Given to reverence of spirits
Superstitious	Given to reverence of spirits
Supplant	To deceive, defraud
Supple	To soften or clean by washing
Suppliant	Worshipper
Suppliants	Worshippers
Supplication	Petition, an expression of need
Suretiship	A pledge or bond for something
Surety	To become a pledge or bond for something
Surfeiting	An excess of something, intoxication, overindulgence
Surmisings	Suspicions
Swaddled	Diapering or tending to an infant
Swaddling	Diapering or tending to an infant
Swaddling clothes	Clothes used for wrapping
Swelling	Puffed-up, inflated attitudes, conceits
Swine	Pigs
Tabering	To beat, as a drum, to strike (especially the tabret)
Tabernacle	A tent, booth or dwelling
Table	An article of furniture, or also a tablet to be written upon
Tabret	Timbrel, a small drum or tambourine
Tache	A clasp, hooks, fasteners
Tackling	The tackle of a ship
Take no thought	Be not anxious
Take thought	To worry, be anxious
Taken with the manner	Caught in the act
Tale	A tally. A story. A carefully counted number
Talent	A weight, money, or gift
Tares	Darnell, a weed that looks like wheat
Target	A round shield
Tarry	Wait
Taunt	An object of scorn and derision
Tax	Tithe
Taxed	Enrolled
Taxing	Enrolling
Teach	Indicate, point out
Teat	Nipple
Teats	Breasts
Teil	An oak tree
Tekel	Weighed
Tell	To number, count
Temper	To mix or blend together, to mingle, sprinkle, moisten
Temperance	Self control
Temperate	To exercise power or self-control
Tempest	Storm, whirlwind
Tempt	Test
Temptation	Trials
Tempting	Testing
Tender eyed	Having poor vision
Tenon	Projection on the end of a wooden board
Tenor	Intent or purpose
Terrestrial	Upon or belonging to the earth
Testament	A covenant, an agreement
Tetrarch	Ruler of a fourth part of a territory, state, or country
Thankworthy	Worthy of gratitude or merit
The time is now past	The hour is now late
Thence	There, that place
Thereunto	To something, or for something
Thitherward	In that direction, towards
Those who "seemed to be somewhat"	Boasters
Threescore	Sixty
Thrice	Three of something, or three times
Throw	Think
Thummim	Perfections Two objects related to the breastplate of the high priest which enabled him to discern god's will Their exact method of function is no longer known
Thyine	A type of tree somewhat similar to a pine
Tide	Time
Tidings	What is heard, news, a saying
Tillage	Ground that is broken up, plowing
Tiller	Ground that is broken up, plowing
Timbrel	A small hand drum or tambourine
Tire	Shortened form of "attire", a round decorative ornament, turban, head ornament
Tirshatha	Title of a Persian governor
Tithe	The tenth part, 1/10
Tittle	The smallest mark used in writing the law, a point of a letter of the alphabet
Told out	Numbered, tallied
Tongues	Foreign languages
Topaz	A semi precious stone
Totter	Rock or sway, threaten to collapse
Touching	Referencing, pertaining to
Tow	A thread of flax, the short fibers of the flax plant
Towns	Villages
Traffic	To go about and trade, sell, offer merchandise
Traffick	To go about and trade, sell, offer merchandise
Transgression	Wrong-doing, a violation of a law
Translate	To change or remove
Translation	To change or remove
Traversing	Turning, interweaving, entangling
Treatise	A story
Trespass	Wrong-doing, sin
Tribute	Money paid to a conquering country by a conquered country, forced labor
Trodden	Trampled
Trode	Trampled
Trow	To believe, have an opinion, to think
Trump	Trumpet
Turtle	Turtledove, dove
Tutor	A guardian or instructor of a child
Twain	Two
Tyrus	Tyre, city of
Unawares	Unaware
Uncomely	Improper, inappropriate
Uncorruptness	Having integrity, honorable
Unction	Anointing
Under	Subject to
Undergird	Acts 27:17 - bracing wrapped around the lower outside hull of a ship
Undersetters	Supports
Undertake	Be responsible for
Unfeigned	Open, genuine, undisguised
Unicorn	Wild ox
Unjust	Wrongdoing in various forms
Unlade	To discharge, unload
Unlearned	Ignorant, unskilled
Unperfect	Imperfect
Unshod	Barefoot
Unspeakable	Impossible to utter
Unto	By
Untoward	Unruly, perverse, contrary, crooked
Upbraid	To scold, reproach, reprimand
Upharsin	And divided
Upholden	Past tense of "uphold"
Usurp	To take power to one's self, to seize and take hold of
Usury	Interest (of any kind)
Utmost	Furthest part, the end or extremity, most distant
Utter	Something spoken, making something known, to reveal
Vagabond	Wandering
Vain	Empty, useless, foolish
Vainglory	Conceit, egotism
Vale	Valley
Vanity	Uselessness, futility, worthless
Variance	Contention, strife
Vaunt	To boast or brag on one's self
Vehemently	Violently, intensely
Vengeance	Justice
Verily	Truly, surely
Verity	Truth
Vermilion	Red color
Vessel	A receptacle that can be carried, an object. A person
Vestment	Garment, covering, apparel
Vestry	Wardrobe
Vesture	Garment, cloak, clothing
Vex	To distress, torment, to trouble, disturb
Vexation	Torment, anguish
Vial	Bowl, goblet
Victuals	Food, sustenance
Vigilant	Watchful
Vile	Disgusting, defiled, dishonored, loathsome
Vilely	Disgusting, defiled, dishonored, loathsome
Vilest	Lowest, despised
Villany	Folly
Viol	Musical instrument, a kind of harp
Viper	Snake
Virtue	Power, excellence
Visage	Facial appearance, an appearance, form
Vocation	A calling, invitation, summons
Void	Emptiness, empty place, render useless
Volume	A rolled up manuscript
Wake	Be awake, a watchman
Walk	Live
Wallow	To roll
Want	To lack something, be without
Wanted	Lacked
Wanton	Excessive, rebellious
Wantonness	Extreme indulgence in sensual pleasures
Ward	To be in custody, prison, custody
Ware	To be aware, wary
Warp	The yarn extending lengthwise in a loom, and crossed by the woof
Wasteness	Desolation
Waster	A vandal, a destroyer
Waterspout	Waterfall
Wax	To become, change, to grow
Way	Road
Wayfaring man	Traveler, passer-by
Wealth	Riches, health, welfare, good
Well	Good
Well favoured	Attractive, pleasant to look at
Wen	A running sore
Wench	Maidservant
Went out	Came out
Wert	Were, was
Whelp	A son, offspring
When	Whenever
Whence	From where
Whereby	By which
Wherefore	Therefore, Why?, for what reason?, for what cause?
Wherein	In what?
Whereinsoever	Whatever, in whatever respect
Whereinto	Into
Whereof	Of which
Whereon	On which
Whereunto	what is it like? 'to what is it comparable?"
Whereupon	And, so, then
Wherewith	With what, the things with which
Wherewithal	With what, How?, By what means?
Whet	To sharpen
Whether	Which
Whiles	While
Whilst	While
Whit	A small amount, any, a least bit
Whither	Where, which place
Whithersoever	Wherever
Whole	Complete, entire Healthy, normal
Wholesome	Healthy, promoting health
Whoremonger	Sexually immoral person
Whosesoever	Whosoever
Whoso	Whosoever
Whosoever	If anyone
Willes	Cunning devices, methods
Will-worship	Worship originated by man and not god
Wimple	A wide covering, a mantle, a woman's garment, shawl
Winebibber	Wine drinker, a drunkard
Winefat	Trough for treading grapes, a collection trough beneath a winepress
Wise	(var) manner, fashion
Wist	To know something, knew, to have known
Wit	To know something, knew, to become aware of
Withal	With, at the same time, together with
Withholden	Past tense of withhold
Within	Among
Without	(var) outside of, beyond
Without controversy	A settled fact, without argument
Withs	Bowstrings, cords, ropes
Woe	An expression of grief or indignation
