ID	word	Body
1749	May, Mayest, Might	(1: dunamai; Strong # 1410)\"to be able, have power," whether by personal ability, permission, or opportunity, is sometimes rendered "may" or "might," e.g., Matt. 26:9; Mark 14:5; Acts 17:19; 1 Thess. 2:6. In the following the RV substitutes "can," "canst," "couldst," for the AV, e.g., Matt. 26:42; Mark 4:32; 14:7; Luke 16:2; Acts 24:11; 25:11; 27:12; 1 Cor. 7:21; 14:31 (here the alteration is especially important, as not permission for all to prophesy, but ability to do so, is the meaning); Eph. 3:4. In the following the RV substitutes the verb "to be able," Acts 19:40; 24:8; Rev. 13:17. See ABLE, B, No. 1. \\(2: exesti; Strong # 1832)\"it is premitted, lawful" ({eimi}, "to be," prefixed by {ek}, "from"), is rendered "\    (I) may" in Acts 2:29, RV [AV, "let (me)"]; in Acts 21:37, "may \    (I)," lit., "is it permitted (me to speak)?" Some mss. have it in Acts 8:37, "thou mayest" (AV). See LAWFUL.\\(3: isoV; Strong # 2481)\"equally" (from the adjective {isoV}, "equal"), is translated "it may be" in Luke 20:13 (i.e., "perhaps").\\(4: tunchano; Strong # 5177)\"to meet with, reach, obtain," denotes, intransitively, "to happen, chance, befall;" used impersonally with the conjunction {ei}, "if," it signifies "it may be," "perhaps," e.g., 1 Cor. 14:10; 15:37, "it may chance;" 1 Cor. 16:6.\\Notes: (1) In Matt. 8:28, AV, {ischuo}, "to have strength, be strong, be well able," is translated "might" (RV, "could"). (2) "May," "might," sometimes translate the prepositional phrase {eiV}, "unto," with the definite article, followed by the infinitive mood of some verb, expressing purpose, e.g., Acts 3:19, "may be blotted out," lit., "unto the blotting out of;" Rom. 3:26, "that he might be," lit., "unto his being;" so Rom. 8:29; 2 Cor. 1:4, "that we may be able," lit., "unto our being able;" Eph. 1:18, "that ye may know," lit., "unto your knowing;" Acts 7:19; Rom. 1:11; 4:16; 12:2; 15:13; Phil. 1:10; 1 Thess. 3:10,13; 2 Thess. 1:5; 2:6,10; Heb. 12:10. In Luke 20:20 the best mss. have {hoste}, "so as to," RV, as, e.g., in 1 Pet. 1:21. Sometimes the article with the infinitive mood without a preceding preposition, expresses result, e.g., Luke 21:22; Acts 26:18 (twice), "that they may turn," RV; cp. Rom. 6:6; 11:10; 1 Cor. 10:13; Phil. 3:10, "that I may know;" Jas. 5:17.\\(3) The phrases "may be," "might be," are frequently the rendering of the verb "to be," in the subjunctive or optative moods, preceded by a conjunction introducing a condition, or expressing a wish or purpose, e.g., Matt. 6:4; John 14:3; 17:11. Sometimes the phrase translates simply the infinitive mood of the verb {eimi}, "to be," e.g., Luke 8:38, lit., "to be (with Him);" so the RV in 2 Cor. 5:9; in 2 Cor. 9:5, "that (the same) might be," lit., "(the same) to be."\\(4) In Heb. 7:9 the phrase {hos} ("so") {epos} ("a word") {eipen} ("to say"), i.e., lit., "so to say a word" is an idiom, translated in the RV, "so to say" (AV, "if I may so say"); the Eng. equivalent is "one might almost say."
1750	Me	AV, "is committed unto me," the RV has "I was intrusted."  In Phil. 2:23, "how it will go with me," is, lit., "the (things) concerning me." The phrase {en emoi}, "in me," is used.\    (a) instrumentally ({en}, instrumental, "by" or "through"), e.g., 2 Cor. 13:3; \    (b) subjectively, "within me," e.g., Gal. 2:20; \    (c) objectively, "in my case," e.g., 1 Cor. 9:15; 14:11; Gal. 1:16,24; 1 Tim. 1:16. (6) In Luke 22:19 the possessive pronoun {emoV}, "my," is rendered "of Me," lit., "(into) My (remembrance)."
1751	Meal	(1: aleuron; Strong # 224)\"meal" (akin to {aleuo}, "to grind," and therefore, lit., "what is ground"), occurs in Matt. 13:33; Luke 13:21.
1752	Mean	(1: asemoV; Strong # 767)\lit., "without mark" ({a}, negative, {sema}, "a mark"), i.e., "undistinguished, obscure," was applied by the Apostle Paul negatively, to his native city, Tarsus, Acts 21:39. Moulton and Milligan (Vocab.) have a note as follows: "This word occurs perpetually in the papyri to denote a man who is 'not distinguished' from his neighbors by the convenient scars on eyebrow or arm or right shin, which identify so many individuals in formal documents." Deissmann suggests that the word may have been the technical term for "uncircumcised," among the Greek Egyptians. In another papyrus document a pair of silver bracelets are described as of "unstamped" ({asemoV}) silver.
1753	Mean	(1: eimi; Strong # 1510)\"to be," in certain of its forms, has an explicative force, signifying "to denote, to import," e.g., Matt. 9:13; 12:7, "(what this) meaneth," lit., "(what this) is;" Luke 18:36, "meant" (lit., "might be"); Acts 10:17, "might mean," RV (lit., "might be"); in Luke 15:26 the RV keeps to the verb "to be," "(what these things) might be" (AV, "meant"). In Acts 2:12 the verb "to be" is preceded by {thelo}, "to will," and the phrase is translated "(what) meaneth (this)," lit., "(what) does (this) will to be?" in Acts 17:20, lit., "(what do these things) will to be?" \\(2: lego; Strong # 3004)\"to say," sometimes has the significance of "meaning" something; so the RV in 1 Cor. 1:12; AV, "(this) I say." Notes: (1) In Acts 27:2, AV, {mello}, "to be about to," is translated "meaning" (RV, "was about to"), with reference to the ship (according to the best mss.). (2) In Acts 21:13, AV, {poieo}, "to do," is translated "(what) mean ye (to weep);" RV, "(what) do ye, (weeping)." (3) The abbreviated original in 2 Cor. 8:13 is rendered by the italicized additions, AV, "I mean (not)," RV, "I say (not) this." Cp. the RV italics in Mark 6:2.
1754	Meaning	(1: dunamiV; Strong # 1411)\"power, force," is used of the significance or force of what is spoken, 1 Cor. 14:11. See MIGHT, POWER.
1755	Means	(1: pantoV; Strong # 3843)\an adverb from {paV}, "all," denoting "wholly, altogether, entirely," is used in 1 Cor. 9:22, "by all means." When the Apostle says, "I am become all things to all men, that I may by all means save some," he is simply speaking of his accommodating himself to various human conditions consistently with fidelity to the truth, with no unscriptural compliance with men, but in the exercise of self denial; "by all means" refers to the preceding context from 1 Cor. 9:18, and stresses his desire to be used in the salvation of some. It is found in Acts 21:22, RV, "certainly." Some mss. have the word in this sense in Acts 18:21 (AV). See ALTOGETHER, B, No. 1. \\(2: poV; Strong # 4458)\"at all, somehow, in any way," is used after the conjunction \    (a) {ei}, "if," meaning "if by any means," e.g., Acts 27:12; Rom. 1:10; 11:14; Phil. 3:11; \    (b) {me}, "lest, lest by any means," e.g., 1 Cor. 8:9; 9:27; 2 Cor. 2:7, RV (AV, "perhaps"); 2 Cor. 9:4, RV (AV, "haply"); 11:3; 12:20, RV; Gal. 2:2; 4:11, RV (AV, "lest"); 1 Thess. 3:5 (AV, "lest by some means").\\(3: ek; Strong # 1537)\"out of, from, by," suggesting "the source from which something is done," is sometimes rendered "by means of," e.g., Luke 16:9, RV, "by means of (the mammon of unrighteousness);" AV, "of;" 2 Cor. 1:11, "by (the) means of (many)."\\(4: dia; Strong # 1223)\"by, by means of," when followed by the genitive case, is instrumental, e.g., 2 Pet. 3:6, RV, "by which means" (AV, "whereby").\\(5: poV; Strong # 4459)\an interrogative adverb (different from No. 2), "how, in what way," Luke 8:36, AV, "by what means," RV, "how;" so John 9:21; cp. Note (4) below.\\Notes: (1) In Luke 5:18 the AV adds the word "means" in italics. (2) The word {tropoV}, "a manner, way," is sometimes used in a prepositional phrase, e.g., 2 Thess. 2:3, AV, "by any means," RV, "in any wise, lit., "in any manner;" 3:16, AV, "by all means," RV, "in all ways," lit., "in every manner." (3) The double negative {ou me}, i.e., "no not," "not at all," is translated "by no means," Matt. 5:26; in Luke 10:19, "by any means," AV (RV, "in any wise"); Luke 12:59, RV, "by no means" (AV, "not). (4) In Acts 4:9, the phrase {en}, "in" or "by," with {tini} (from {tiV}, "who"), lit., "in whom" (RV, marg.), is translated "by what means." (5) In Heb. 9:15, RV, the verb {ginomai}, "to come to be, become, take place," used in its 2nd aorist participle, is rightly translated "(a death) having taken place;" AV, "by means of (death)." (6) In Rev. 13:14, RV, {dia}, followed by the accusative case, is rightly translated "by reason of," i.e., "on account of" (AV, wrongly, "by the means of").
1756	Meanwhile	* For MEANWHILE see WHILE
1757	Measure	(A-1, Noun: metron; Strong # 3358)\denotes \    (I) "that which is used for measuring, a measure," \    (a) of "a vessel," figuratively, Matt. 23:32; Luke 6:38 (twice); in John 3:34, with the preposition {ek}, "(He giveth not the Spirit) by measure," RV (which is a necessary correction; the italicized words "unto him," AV, detract from the meaning). Not only had Christ the Holy Spirit without "measure," but God so gives the Spirit through Him to others. It is the ascended Christ who gives the Spirit to those who receive His testimony and set their seal to this, that God is true. The Holy Spirit is imparted neither by degrees, nor in portions, as if He were merely an influence, He is bestowed personally upon each believer, at the time of the New Birth; \    (b) of "a graduated rod or rule for measuring," figuratively, Matt. 7:2; Mark 4:24; literally, Rev. 21:15 (in the best mss.; see the RV); Rev. 21:17; (II) "that which is measured, a determined extent, a portion measured off," Rom. 12:3; 2 Cor. 10:13 (twice); Eph. 4:7, "(according to the) measure (of the gift of Christ);" the gift of grace is "measured" and given according to the will of Christ; whatever the endowment, His is the bestowment and the adjustment; Eph. 4:13, "the measure (of the stature of the fullness of Christ)," the standard of spiritual stature being the fullness which is essentially Christ's; Eph. 4:16, "(according to the working in due) measure (of each several part)," i.e., according to the effectual working of the ministration rendered in due "measure" by every part. \\(A-2, Noun: meroV; Strong # 3313)\"a part portion," is used with the preposition {apo}, "from," with the meaning "in some measure," Rom. 15:15, RV (AV, "...sort"). See COAST, PART.\\(A-3, Noun: saton; Strong # 4568)\is a Hebrew dry measure (Heb., seah), about a peck and a half, Matt. 13:33; Luke 13:21; "three measures" would be the quantity for a baking (cp. Gen. 18:6; Judg. 6:19; 1 Sam. 1:24; the "ephah" of the last two passages was equal to three {sata}).\\(A-4, Noun: koroV; Strong # 2884)\denotes a cor, the largest Hebrew dry measure (ten ephahs), containing about 11 bushels, Luke 16:7; the hundred "measures" amounted to a very considerable quantity.\\(A-5, Noun: batoV; Strong # 943)\denotes a bath, a Jewish liquid measure (the equivalent of an ephah), containing between 8 and 9 gallons, Luke 16:6.\\(A-6, Noun: choinix; Strong # 5518)\a dry "measure" of rather less than a quart, about "as much as would support a person of moderate appetite for a day," occurs in Rev. 6:6 (twice). Usually eight {choenixeV} could be bought for a denarius (about 9 1/2d.); this passage predicts circumstances in which the denarius is the price of one {choenix}. In the Sept., Ezek. 45:10,11, where it represents the Heb. ephah and bath.\\Notes: (1) In 2 Cor. 10:14, AV, {huperekteino}, "to stretch out overmuch," is translated "we stretch (not ourselves) beyond measure," (RV "...overmuch)." (2) In 2 Cor. 11:9, Rv, {prosanapleroo}, "to fill up by adding to, to supply fully," is translated "supplied the measure" (AV, "supplied"). See SUPPLY. (3) For the phrases in the AV, "beyond measure," Gal. 1:13; "out of measure," 2 Cor. 1:8, see ABUNDANCE, A, No. 4, EXCEL, B. (4) In Mark 6:51, some mss. have the phrase {ek perissou}, "beyond measure" (AV). (5) For the phrase "be exalted above measure," 2 Cor. 12:7, AV, see EXALT, A, No. 4.\\(B-1, Adverb: huperballontoV; Strong # 5234)\"beyond measure" ({huper}, "over, beyond," {ballo}, "to throw;" for the verb {huperballo}, see EXCEEDING), is rendered "above measure" in 2 Cor. 11:23.\\(B-2, Adverb: perissoV; Strong # 4057)\Mark 10:26; see EXCEED, B, No. 4.\\(B-3, Adverb: huperperissoV; Strong # 5249)\Mark 7:37: see ABUNDANCE D, No. 3.\\(C-1, Adjective: ametroV; Strong # 280)\"without measure" ({a}, negative, and A, No. 1), is used in the neuter plural in an adverbial phrase in 2 Cor. 10:13,15, {eiV ta ametra}, lit., "unto the (things) without measure," RV, "(we will not glory) beyond our measure;" AV, "(we will not boast) of things without measure," referring to the sphere Divinely appointed for the Apostle as to his Gospel ministry; this had reached to Corinth, and by the increase of the faith of the church there, would extend to regions beyond. His opponents had no scruples about intruding into the spheres of other men's work.\\(D-1, Verb: metreo; Strong # 3354)\"to measure" (akin to A, No. 1), is used \    (a) of space, number, value, etc., Rev. 11:1,2; 21:15,16,17; metaphorically, 2 Cor. 10:12; \    (b) in the sense of "measuring" out, giving by "measure," Matt. 7:2, "ye mete" (some mss. have No. 2); Mark 4:24; in some mss. in Luke 6:38 (see No. 2).\\(D-2, Verb: antimetreo; Strong # 488)\"to measure in return" ({anti}, "back, in return" and No. 1), is used in the Passive Voice, and found in some mss. in Matt. 7:2 (the most authentic have No. 1); in Luke 6:38 the most authentic have this verb. It is not found in the Sept.
1758	Meat	(1: broma; Strong # 1033)\"food" (akin to {bibrosko}, "to eat," John 6:13), solid food in contrast to milk, is translated "food" in Matt. 14:15, RV (AV, "victuals"); "meats," Mark 7:19; 1 Cor. 6:13 (twice); 1 Tim. 4:3; Heb. 9:10; 13:9; "meat," John 4:34; Rom. 14:15 (twice),20; 1 Cor. 3:2; 8:8,13; 10:3; "food," RV, for AV, "meat," Luke 3:11; 9:13. \\(2: brosiV; Strong # 1035)\akin to No. 1, denotes \    (a) "the act of eating," 1 Cor. 8:4 (see EAT); \    (b) "food," translated "meat" in John 4:32 (for ver. 34, see No. 1); 6:27 (twice, the second time metaphorically, of spiritual food); 6:55, RV, marg., "(true) meat;" Rom. 14:17, AV, "meat," RV, "eating;" Col. 2:16; in Heb. 12:16, RV, "mess of meat," AV, "morsel of meat;" in 2 Cor. 9:10, "food;" in Matt. 6:19,20, "rust." See EAT, EATING, B.\\(3: brosimoV; Strong # 1034)\"eatable," Luke 24:41, AV, "any meat" (RV, "anything to eat"). See EAT, C.\\(4: trophe; Strong # 5160)\"nourishment, food," is translated "meat" in the AV (RV "food") except in two instances. See FOOD, No. 1.\\(5: phago; Strong # 5315)\"to eat," is used as a noun, in the infinitive mood, and translated "meat" in Matt. 25:35,42 (lit., "to eat"); in Luke 8:55 the RV translates it literally, "to eat" (AV, "meat"). See EAT, No. 2.\\(6: trapeza; Strong # 5132)\"a table" (Eng., "trapeze"), is used, by metonymy, of "the food on the table," in Acts 16:34 (RV, marg., "a table") and translated "meat;" cp. "table" in Rom. 11:9; 1 Cor. 10:21. See TABLE.\\Notes: (1) For {prosphagion}, John 21:5, AV, "any meat," see EAT, B, No. 2. (2) In Luke 12:42, {sitometrion} denotes "a measured portion of food" ({sitoV}, "food," {metrioV}, "within measure"). (3) In Matt. 15:37; Mark 8:8, the AV translates the plural of {klasma}, "a broken piece" (from {klao}, "to break"), "broken meat" (RV, "broken pieces"). (4) In John 12:2, RV, {anakeimai}, "to recline at table," is translated "sat at meat" (AV, "sat at the table"); in Mark 6:26, RV, according to the best mss., "sat at meat," some have {sunanakeimai} (AV, "sat with him"); in Mark 6:22, RV, {sunanakeimai}, "to recline at table together," is translated "that sat at meat with him." (5) In Acts 15:29, AV, the neuter plural of {eidolothutoV}, "sacrificed to idols," is translated "meats offered to idols" (RV, "things...," as elsewhere in the AV). See IDOLS (offered to). (6) For {kataklino}, "to sit down to (recline at) meat," see SIT, No. 7.
1759	Mediator	(1: mesiteV; Strong # 3316)\lit., "a go-between" (from {mesoV}, "middle," and {eimi}, "to go"), is used in two ways in the NT, \    (a) "one who mediates" between two parties with a view to producing peace, as in 1 Tim. 2:5, though more than mere "mediatorship" is in view, for the salvation of men necessitated that the Mediator should Himself posses the nature and attributes of Him towards whom He acts, and should likewise participate in the nature of those for whom He acts (sin apart); only by being possessed both of deity and humanity could He comprehend the claims of the one and the needs of the other; further, the claims and the needs could be met only by One who, Himself being proved sinless, would offer Himself an expiatory sacrifice on behalf of men; \    (b) "one who acts as a gurantee" so as to secure something which otherwise would not be obtained. Thus in Heb. 8:6; 9:15; 12:24 Christ is the Surety of "the better covenant," "the new covenant," guaranteeing its terms for His people. In Gal. 3:19 Moses is spoken of as a "mediator," and the statement is made that "a mediator is not a mediator of one," Gal 3:20, that is, of one party. Here the contrast is between the promise given to Abraham and the giving of the Law. The Law was a covenant enacted between God and the Jewish people, requiring fulfillment by both parties. But with the promise to Abraham, all the obligations were assumed by God, which is implied in the statement, "but God is one." In the Sept., Job 9:33, "daysman."
1760	Meditate	(1: meletao; Strong # 3191)\primarily, "to care for" (akin to {melete}, "care;" cp. {melei}, "it is a care"), denotes \    (a) "to attend to, practice," 1 Tim. 4:15, RV, "be diligent in" (AV, "meditate upon"); to practice is the prevalent sense of the word, and the context is not against this significance in the RV rendering; some mss. have it in Mark 13:11; \    (b) "to ponder, imagine," Acts 4:25. See IMAGINE. \\(2: promeletao; Strong # 4304)\"to premediate," is used in Luke 21:14.\\Note: In the corresponding passage in Mark 13:11, the most authentic mss. have the verb {promerimnao}, "to be anxious beforehand" (RV); see No. 1.
1761	Meddler	* For MEDDLER see BUSYBODY
1762	Meek, Meekness	(A-1, Adjective: prauV or praoV; Strong # 4239)\denotes "gentle, mild, meek;" for its significance see the corresponding noun, below, B. Christ uses it of His own disposition, Matt. 11:29; He gives it in the third of His Beatitudes, Matt. 5:5; it is said of Him as the King Messiah, Matt. 21:5, from Zech. 9:9; it is an adornment of the Christian profession, 1 Pet. 3:4. Cp. {epioV}, "gentle, of a soothing disposition," 1 Thess. 2:7; 2 Tim. 2:24. \\(B-1, Noun: prauteV | praoteV; Strong # 4240)\an eariler form, denotes "meekness." In its use in Scripture, in which it has a fuller, deeper significance than in nonscriptural Greek writings, it consists not in a person's "outward behaviour only; nor yet in his relations to his fellow-men; as little in his mere natural disposition. Rather it is an inwrought grace of the soul; and the exercises of it are first and chiefly towards God. It is that temper of spirit in which we accept His dealings with us as good, and therefore without disputing or resisting; it is closely linked with the word {tapeinophrosune} [humility ], and follows directly upon it, Eph. 4:2; Col. 3:12; cp. the adjectives in the Sept. of Zeph. 3:12, "meek and lowly;"...it is only the humble heart which is also the meek, and which, as such, does not fight against God and more or less struggle and contend with Him. This meekness, however, being first of all a meekness before God, is also such in the face of men, even of evil men, out of a sense that these, with the insults and injuries which they may inflict, are permitted and employed by Him for the chastening and purifying of His elect" (Trench, Syn. xlii). In Gal. 5:23 it is associated with {enkrateia}, "self-control."\\The meaning of prautes "is not readily expressed in English, for the terms meekness, mildness, commonly used, suggest weakness and pusillanimity to a greater or less extent, whereas prautes does nothing of the kind. Nevertheless, it is difficult to find a rendering less open to objection than 'meekness'; 'gentleness' has been suggested, but as prautes describes a condition of mind and heart, and as 'gentleness' is appropriate rather to actions, this word is no better than that used in both English Versions. It must be clearly understood, therefore, that the meekness manifested by the Lord and commended to the believer is the fruit of power. The common assumption is that when a man is meek it is because he cannot help himself; but the Lord was 'meek' because he had the infinite resources of God at His command. Described negatively, meekness is the opposite to self-assertiveness and self-interest; it is equanimity of spirit that is neither elated nor cast down, simply because it is not occupied with self at all.\\"In 2 Cor. 10:1 the Apostle appeals to the 'meekness...of Christ.' Christians are charged to show 'all meekness toward all men,' Titus 3:2, for meekness becomes 'God's elect,' Col. 3:12. To this virtue the 'man of God' is urged; he is to 'follow after meekness' for his own sake, 1 Tim. 6:11 (the best texts have No. 2 here, however), and in his service, and more especially in his dealings with the 'ignorant and erring,' he is to exhibit 'a spirit of meekness,' 1 Cor. 4:21; Gal. 6:1; even 'they that oppose themselves' are to be corrected in meekness, 2 Tim. 2:25. James exhorts his 'beloved brethren' to 'receive with the meekness the implanted word,' 1:21. Peter enjoins 'meekness' in setting forth the grounds of the Christian hope, 3:15." * [* From Notes on Galatians, by Hogg and Vine, pp. 294,295.]\\(B-2, Noun: praupathia; Strong # 4236)\"a meek disposition, meekness" ({prauV}, "meek," {pascho}, "to suffer"), is found in the best texts in 1 Tim. 6:11.
1763	Meet	(A-1, Adjective: axioV; Strong # 514)\has the meaning of being of "weight, value, worth;" also "befitting, becoming, right on the ground of fitness," e.g., Matt. 3:8, AV, "meet" (RV, "worthy"); so Acts 26:20; Luke 3:8 ("worthy"); 23:41 ("due reward"). See REWARD, WORTHY. \\(A-2, Adjective: hikanoV; Strong # 2425)\"sufficient, competent, fit," is translated "meet" in 1 Cor. 15:9. See ENOUGH, SUFFICIENT.\\(A-3, Adjective: kaloV; Strong # 2570)\"good," is translated "meet" in Matt. 15:26; Mark 7:27. See GOOD.\\(A-4, Adjective: euthetoV; Strong # 2111)\"well-placed," is translated "meet" in Heb. 6:7: see FIT.\\Note: In Phil. 1:7; 2 Pet. 1:13, AV, {dikakoV}, "just," is translated "meet" (RV, "right"). For "meet...for use," 2 Tim. 2:21, see USE, Note.\\(B-1, Verb: dei; Strong # 1163)\an impersonal verb, "it is necessary, one must," is translated "it was meet," in Luke 15:32; in Rom. 1:27, AV, "was meet" (RV, "was due"). See DUE, B, No. 2.\\(B-2, Verb: hikanoo; Strong # 2427)\"to render fit, meet, to make sufficient," is translated "hath made...meet" in Col. 1:12; in 2 Cor. 3:6, RV, "made...sufficient" (AV, "hath made...able"). See ABLE.
1764	Meet, Meet with, Met	(A-1, Verb: apantao; Strong # 528)\"to go to meet, to meet," ({apo}, "from," {antao}, "to meet with, come face to face with"), is used in Mark 14:13; Luke 17:12. Some mss. have this verb for No. 3 in Matt. 28:9; Mark 5:2; Luke 14:31; John 4:51; Acts 16:16. \\(A-2, Verb: sunantao; Strong # 4876)\"to meet with," lit., "to meet together with" ({sun}, "with," and {antao}, see No. 1), is used in Luke 9:37 (in ver. 18, in some mss.); 22:10; Acts 10:25; Heb. 7:1,10; metaphorically in Acts 20:22 ("shall befall"). See BEFALL.\\(A-3, Verb: hupantao; Strong # 5221)\"to go to meet, to meet," has the same meaning as No 1, and is used in Matt. 8:28; Luke 8:27; John 11:20,30, and, in the most authentic mss., in Matt. 28:29; Mark. 5:2; Luke 14:31 (of meeting in battle); John 4:51; 12:18 and Acts 16:16 (see No. 1).\\(A-4, Verb: paratunchano; Strong # 3909)\"to happen to be near or present, to chance to be by" ({para}, "beside, near," {tunchano}, "to happen"), occurs in Acts 17:17, "met with (him)."\\(A-5, Verb: sumballo; Strong # 4820)\"to confer, to fall in with, meet with," is translated "met" in Acts 20:14, RV (AV, "met with"), of the Apostle Paul's "meeting" his companions at {AssoV}. See CONFER, No. 3.\\(B-1, Noun: hupantesiV; Strong # 5222)\"a going to meet" (akin to A, No. 3), preceded by the preposition {eiV}, "unto a meeting," translated "to meet," is found in John 12:13, and in the most authentic mss., in Matt. 8:34 (see No. 3); 25:1 (see No. 2).\\(B-2, Noun: apantesiV; Strong # 529)\"a meeting" (akin to A, No. 1), occurs in Matt. 25:6 (in some mss. in ver. 1, and in 27:32, in some mss.); Acts 28:15; 1 Thess. 4:17. It is used in the papyri of a newly arriving magistrate. "It seems that the special idea of the word was the official welcome of a newly arrived dignitary" (Moulton, Greek Test. Gram. Vol. I, p. 14).\\(B-3, Noun: sunantesiV; Strong # 4877)\"a coming to meet with" (akin to A, No. 2), is found in some mss. in Matt. 8:34, of the coming out of all the people of a city to meet the Lord (see No. 1).
1765	Melody	(1: psallo; Strong # 5567)\primarily "to twitch, twang," then, "to play a stringed instrument with the fingers," and hence, in the Sept., "to sing with a harp, sing psalms," denotes, in the NT, "to sing a hymn, sing praise;" in Eph. 5:19, "making melody" (for the preceding word {ado}, see SING). Elsewhere it is rendered "sing," Rom. 15:9; 1 Cor. 14:15; in Jas. 5:13, RV, "let him sing praise" (AV, "let him sing psalms"). See SING.
1766	Melt	(1: teko; Strong # 5080)\"to melt, melt down," is used in the Passive Voice in 2 Pet. 3:12, "shall melt" (lit., "shall be melted"), of the elements (Eng., "thaw" is etymologically connected). Note: In verse 10, the AV "shall melt" represents the verb {luo}, "to loosen, dissolve" (RV, "shall be dissolved," Passive Voice); so in vv. 11,12.
1767	Member	(1: meloV; Strong # 3196)\"a limb of the body," is used \    (a) literally, Matt. 5:29,30; Rom. 6:13 (twice),19 (twice); 7:5,23 (twice); 12:4 (twice); 1 Cor. 12:12 (twice),14,18-20,22,25,26 (twice); Jas. 3:5,6; 4:1; in Col. 3:5, "mortify therefore your members which are upon the earth;" since our bodies and their "members" belong to the earth, and are the instruments of sin, they are referred to as such \\(cp. Matt. 5:29, 30; Rom. 7:5:  mentioned above; Strong # 23); the putting to death is not physical, but ethical; as the physical "members" have distinct individualities, so those evils, of which the physical "members" are agents, are by analogy regarded as examples of the way in which the "members" work if not put to death; this is not precisely the same as "the old man," ver. 9, i.e., the old nature, though there is a connection; \    (b) metaphorically, "of believers as members of Christ," 1 Cor. 6:15 (1st part); of one another, Rom. 12:5 (as with the natural illustration, so with the spiritual analogy, there is not only vital unity, and harmony in operation, but diversity, all being essential to effectivity; the unity is not due to external organization but to common and vital union in Christ); there is stress in ver. 5 upon "many" and "in Christ" and "members;" 1 Cor. 12:27 (of the "members" of a local church as a body); Eph. 4:25 (of the "members" of the whole Church as the mystical body of Christ); in 1 Cor. 6:15 (2nd part), of one who practices fornication.
1768	Memorial	(1: mnemosunon; Strong # 3422)\denotes "a memorial," that which keeps alive the memory of someone or something (from {mnemon}, "mindful"), Matt. 26:13; Mark 14:9; Acts 10:4.
1769	Memory	Topic: Mem* For MEMORY (keep in) see KEEP, Note (8)
1770	Men	For {anthropinoV}, e.g. Rom. 6:19, "after the manner of men," see MAN'S, No. 1.  For the phrase {kat' anthropon}, "after the manner of men," see MAN, No. 1.\The phrase "quit you like men," 1 Cor. 16:13, translates the verb {andrizo}, in the Middle Voice, "to play the man" (a verb illustrated in the papyri). (5) See also ALL, GOOD, GREAT, LOW (estate), THESE, (of) WAR.
1771	Men-pleasers	(1: anthropareskoV; Strong # 441)\an adjective signifying "studying to please men" ({anthropoV}, "man," {aresko}, "to please"), designates, "not simply one who is pleasing to men..., but one who endeavors to please men and not God" (Cremer). It is used in Eph. 6:6; Col. 3:22. In the Sept., Ps. 53:5.
1772	Menservants	(1: paiV; Strong # 3816)\for the meanings of which see CHILD, No. 4, is translated "menservants" in Luke 12:45.
1773	Men-stealers	(1: andrapodisteV; Strong # 405)\"a slave dealer, kidnapper," from {andrapodon}, "a slave captured in war," a word found in the plural in the papyri, e.g., in a catalogue of property and in combination with {tetrapoda}, "four-footed things" ({andrapodon}, {aner}, "a man," {pouV}, "a foot"); {andrapodon} "was never an ordinary word for slave; it was too brutally obvious a reminder of the principle which made quadruped and human chattels differ only in the number of their legs" (Moulton and Milligan, Vocab.). The verb {andrapodizo} supplied the noun "with the like odious meaning," which appears in 1 Tim. 1:10.
1774	Mend	(1: katartizo; Strong # 2675)\from {kata}, "down," intensive and {artioV}, "fit," has three meanings, \    (a) "to mend, repair," Matt. 4:21; Mark 1:19, of nets; \    (b) "to complete, furnish completely, equip, prepare," Luke 6:40; Rom. 9:22; Heb. 11:3 and in the Middle Voice, Matt. 21:16; Heb. 10:5; \    (c) "ethically, to prepare, perfect," Gal. 6:1; 1 Thess. 3:10; 1 Pet. 5:10; Heb. 13:21; and in the Passive Voice, 1 Cor. 1:10; 2 Cor. 13:11. See FIT, FRAME, JOIN, PERFECT, PREPARE, RESTORE.
1775	Mention	(A-1, Noun: mneia; Strong # 3417)\"remembrance, mention" (akin to {mimnesko}, "to remind, remember"), is always used in connection with prayer, and translated "mention" in Rom. 1:9; Eph. 1:16; 1 Thess. 1:2; Philem. 1:4, in each of which it is preceded by the verb to make; "rememberance" in Phil. 1:3; 1 Thess. 3:6; 2 Tim. 1:3. Some mss. have it in Rom. 12:13, instead of {chreiaiV}, "necessities." See REMEMBRANCE. Cp. {mneme}, "memory, remembrance," 2 Pet. 1:15. \\(B-1, Verb: mnemoneuo; Strong # 3421)\which most usually means "to call to mind, remember," signifies "to make mention of," in Heb. 11:22. See REMEMBER.
1776	Merchandise	(A-1, Noun: emporia; Strong # 1711)\denotes "commerce, business, trade" [akin to No. 2, and to {emporoV}, "one on a journey" ({en}, "in," {poroV}, "a journey"), "a merchant "], occurs in Matt. 22:5. \\(A-2, Noun: emporion; Strong # 1712)\denotes "a trading place, exchange" (Eng., "emporium"), John 2:16, "(a house) of merchandise."\\(A-3, Noun: gomoV; Strong # 1117)\is translated "merchandise" in Rev. 18:11,12: see BURDEN, A, No. 3.\\(B-1, Verb: emporeuomai; Strong # 1710)\primarily signifies "to travel," especially for business; then, "to traffic, trade," Jas. 4:13; then, "to make a gain of, make merchandise of," 2 Pet. 2:3.
